#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2013 12 31 23 00 278 11.7 999 99.0 9999
2013 12 31 23 10 277 12.3 999 99.0 9999
2013 12 31 23 20 278 12.5 999 99.0 9999
2013 12 31 23 30 277 12.7 999 99.0 9999
2013 12 31 23 40 279 13.6 999 99.0 9999
2013 12 31 23 50 279 13.8 282 17.7 2340
2014 01 01 00 00 273 13.1 999 99.0 9999
2014 01 01 00 10 272 13.4 999 99.0 9999
2014 01 01 00 20 273 13.6 999 99.0 9999
2014 01 01 00 30 277 13.4 999 99.0 9999
2014 01 01 00 40 272 12.6 999 99.0 9999
2014 01 01 00 50 277 12.6 280 18.2 2351
2014 01 01 01 00 278 12.7 999 99.0 9999
2014 01 01 01 10 282 12.0 999 99.0 9999
2014 01 01 01 20 279 12.8 999 99.0 9999
2014 01 01 01 30 285 12.5 999 99.0 9999
2014 01 01 01 40 277 12.0 999 99.0 9999
2014 01 01 01 50 283 13.3 300 16.5 0123
2014 01 01 02 00 280 11.7 999 99.0 9999
2014 01 01 02 10 268 12.3 999 99.0 9999
2014 01 01 02 20 266 12.1 999 99.0 9999
2014 01 01 02 30 273 11.9 999 99.0 9999
2014 01 01 02 40 278 12.4 999 99.0 9999
2014 01 01 02 50 282 12.6 267 16.0 0209
2014 01 01 03 00 281 12.7 999 99.0 9999
2014 01 01 03 10 283 13.1 999 99.0 9999
2014 01 01 03 20 289 13.2 999 99.0 9999
2014 01 01 03 30 287 12.3 999 99.0 9999
2014 01 01 03 40 285 12.0 999 99.0 9999
2014 01 01 03 50 286 11.2 288 16.9 0305
2014 01 01 04 00 284 11.2 999 99.0 9999
2014 01 01 04 10 286 10.7 999 99.0 9999
2014 01 01 04 20 279 11.2 999 99.0 9999
2014 01 01 04 30 282 10.9 999 99.0 9999
2014 01 01 04 40 285 10.9 999 99.0 9999
2014 01 01 04 50 283 10.5 283 14.8 0357
2014 01 01 05 00 285  9.9 999 99.0 9999
2014 01 01 05 10 278 10.2 999 99.0 9999
2014 01 01 05 20 280 10.0 999 99.0 9999
2014 01 01 05 30 291  9.6 999 99.0 9999
2014 01 01 05 40 280  9.9 999 99.0 9999
2014 01 01 05 50 283 10.0 289 13.3 0515
2014 01 01 06 00 290 10.8 999 99.0 9999
2014 01 01 06 10 288 10.4 999 99.0 9999
2014 01 01 06 20 286 10.8 999 99.0 9999
2014 01 01 06 30 284 10.4 999 99.0 9999
2014 01 01 06 40 285 10.6 999 99.0 9999
2014 01 01 06 50 290 10.1 278 14.2 0618
2014 01 01 07 00 283 10.9 999 99.0 9999
2014 01 01 07 10 284 10.5 999 99.0 9999
2014 01 01 07 20 275 10.3 999 99.0 9999
2014 01 01 07 30 269 10.4 999 99.0 9999
2014 01 01 07 40 275  9.6 999 99.0 9999
2014 01 01 07 50 270  9.6 282 13.4 0652
2014 01 01 08 00 273  9.2 999 99.0 9999
2014 01 01 08 10 274  9.7 999 99.0 9999
2014 01 01 08 20 290 11.1 999 99.0 9999
2014 01 01 08 30 284 11.3 999 99.0 9999
2014 01 01 08 40 287 11.0 999 99.0 9999
2014 01 01 08 50 289 11.1 290 13.9 0815
2014 01 01 09 00 285 10.3 999 99.0 9999
2014 01 01 09 10 283  9.2 999 99.0 9999
2014 01 01 09 20 278  9.2 999 99.0 9999
2014 01 01 09 30 270  9.8 999 99.0 9999
2014 01 01 09 40 276  9.4 999 99.0 9999
2014 01 01 09 50 271  8.7 278 13.0 0903
2014 01 01 10 00 279  8.3 999 99.0 9999
2014 01 01 10 10 275  8.2 999 99.0 9999
2014 01 01 10 20 273  7.2 999 99.0 9999
2014 01 01 10 30 286  7.6 999 99.0 9999
2014 01 01 10 40 280  7.6 999 99.0 9999
2014 01 01 10 50 279  7.5 282 10.9 1008
2014 01 01 11 00 279  8.0 999 99.0 9999
2014 01 01 11 10 285  7.8 999 99.0 9999
2014 01 01 11 20 278  7.2 999 99.0 9999
2014 01 01 11 30 282  7.4 999 99.0 9999
2014 01 01 11 40 286  7.9 999 99.0 9999
2014 01 01 11 50 284  7.6 273 10.4 1052
