#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 07 01 00 00 193  0.2  1.3 99.00 99.00 99.00 999 1011.4 999.0  22.3 999.0 99.0 99.00 
2020 07 01 00 10 170  0.6  1.0 99.00 99.00 99.00 999 1011.4 999.0  22.2 999.0 99.0 99.00 
2020 07 01 00 20 170  0.9  2.0 99.00 99.00 99.00 999 1011.4 999.0  22.3 999.0 99.0 99.00 
2020 07 01 00 30 176  1.5  2.4 99.00 99.00 99.00 999 1011.3 999.0  22.1 999.0 99.0 99.00 
2020 07 01 00 40 193  1.9  2.9  0.61 10.00  6.57 129 1011.4 999.0  22.1 999.0 99.0 99.00 
2020 07 01 00 50 193  2.3  3.0 99.00 99.00 99.00 999 1011.4 999.0  21.8 999.0 99.0 99.00 
2020 07 01 01 00 200  2.7  3.4 99.00 99.00 99.00 999 1011.3 999.0  22.6 999.0 99.0 99.00 
2020 07 01 01 10 204  2.4  3.2 99.00 99.00 99.00 999 1011.4 999.0  22.6 999.0 99.0 99.00 
2020 07 01 01 20 194  1.9  2.5 99.00 99.00 99.00 999 1011.6 999.0  22.7 999.0 99.0 99.00 
2020 07 01 01 30 191  1.9  2.4 99.00 99.00 99.00 999 1011.7 999.0  23.0 999.0 99.0 99.00 
2020 07 01 01 40 225  1.8  2.5  0.57  9.09  6.56 127 1011.9 999.0  22.4 999.0 99.0 99.00 
2020 07 01 01 50 242  2.2  2.9 99.00 99.00 99.00 999 1011.9 999.0  22.7 999.0 99.0 99.00 
2020 07 01 02 00 249  2.2  2.8 99.00 99.00 99.00 999 1011.8 999.0  22.4 999.0 99.0 99.00 
2020 07 01 02 10 252  2.2  2.6 99.00 99.00 99.00 999 1011.9 999.0  22.4 999.0 99.0 99.00 
2020 07 01 02 20 248  1.7  2.4 99.00 99.00 99.00 999 1011.8 999.0  22.9 999.0 99.0 99.00 
2020 07 01 02 30 270  1.3  1.9 99.00 99.00 99.00 999 1011.9 999.0  22.7 999.0 99.0 99.00 
2020 07 01 02 40 276  1.5  2.4  0.60  8.33  6.61 124 1011.9 999.0  22.9 999.0 99.0 99.00 
2020 07 01 02 50 285  1.7  2.4 99.00 99.00 99.00 999 1011.8 999.0  22.8 999.0 99.0 99.00 
2020 07 01 03 00 272  1.6  2.0 99.00 99.00 99.00 999 1011.8 999.0  22.9 999.0 99.0 99.00 
2020 07 01 03 10 252  1.9  2.5 99.00 99.00 99.00 999 1011.7 999.0  23.0 999.0 99.0 99.00 
2020 07 01 03 20 257  1.8  2.4 99.00 99.00 99.00 999 1011.7 999.0  22.9 999.0 99.0 99.00 
2020 07 01 03 30 265  2.0  2.5 99.00 99.00 99.00 999 1011.7 999.0  23.0 999.0 99.0 99.00 
2020 07 01 03 40 280  1.9  2.4  0.62  9.09  6.84 133 1011.7 999.0  22.9 999.0 99.0 99.00 
2020 07 01 03 50 265  2.0  2.5 99.00 99.00 99.00 999 1011.7 999.0  22.9 999.0 99.0 99.00 
2020 07 01 04 00 267  2.0  2.6 99.00 99.00 99.00 999 1011.8 999.0  22.9 999.0 99.0 99.00 
2020 07 01 04 10 259  1.9  2.5 99.00 99.00 99.00 999 1011.9 999.0  22.8 999.0 99.0 99.00 
2020 07 01 04 20 250  2.1  2.7 99.00 99.00 99.00 999 1011.7 999.0  22.7 999.0 99.0 99.00 
2020 07 01 04 30 254  2.0  2.8 99.00 99.00 99.00 999 1011.6 999.0  22.7 999.0 99.0 99.00 
2020 07 01 04 40 270  1.8  2.7  0.64  7.69  6.79  99 1011.5 999.0  22.6 999.0 99.0 99.00 
2020 07 01 04 50 284  1.5  2.0 99.00 99.00 99.00 999 1011.6 999.0  22.5 999.0 99.0 99.00 
2020 07 01 05 00 299  1.3  1.9 99.00 99.00 99.00 999 1011.6 999.0  22.6 999.0 99.0 99.00 
2020 07 01 05 10 325  1.1  1.6 99.00 99.00 99.00 999 1011.6 999.0  22.2 999.0 99.0 99.00 
2020 07 01 05 20 334  1.2  1.7 99.00 99.00 99.00 999 1011.5 999.0  22.1 999.0 99.0 99.00 
2020 07 01 05 30 341  1.7  2.3 99.00 99.00 99.00 999 1011.6 999.0  22.0 999.0 99.0 99.00 
2020 07 01 05 40 355  1.7  2.2  0.74  9.09  6.91 112 1011.4 999.0  22.0 999.0 99.0 99.00 
2020 07 01 05 50 355  1.5  2.2 99.00 99.00 99.00 999 1011.5 999.0  22.3 999.0 99.0 99.00 
2020 07 01 06 00 356  1.4  1.7 99.00 99.00 99.00 999 1011.3 999.0  22.3 999.0 99.0 99.00 
2020 07 01 06 10   9  1.3  1.8 99.00 99.00 99.00 999 1011.3 999.0  22.3 999.0 99.0 99.00 
2020 07 01 06 20  18  1.2  1.8 99.00 99.00 99.00 999 1011.2 999.0  22.3 999.0 99.0 99.00 
2020 07 01 06 30  36  0.9  1.4 99.00 99.00 99.00 999 1011.2 999.0  22.3 999.0 99.0 99.00 
2020 07 01 06 40  62  0.6  1.1  0.76 10.00  6.65 126 1011.2 999.0  22.2 999.0 99.0 99.00 
2020 07 01 06 50  64  0.5  1.1 99.00 99.00 99.00 999 1011.1 999.0  22.3 999.0 99.0 99.00 
2020 07 01 07 00  85  0.5  1.1 99.00 99.00 99.00 999 1011.1 999.0  22.4 999.0 99.0 99.00 
2020 07 01 07 10  96  0.3  0.7 99.00 99.00 99.00 999 1011.1 999.0  22.4 999.0 99.0 99.00 
2020 07 01 07 20 159  0.2  0.9 99.00 99.00 99.00 999 1011.1 999.0  22.4 999.0 99.0 99.00 
2020 07 01 07 30 200  0.4  0.8 99.00 99.00 99.00 999 1011.1 999.0  22.4 999.0 99.0 99.00 
2020 07 01 07 40 213  0.5  0.8  0.81  8.33  6.53 121 1011.0 999.0  22.4 999.0 99.0 99.00 
