BASIN,DATE,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,6/28/2014,18:00:00,DS,32,-78.2,20,1017,20,1017
NA,6/28/2014,21:00:00,DS,31.6,-78,,,20,1017
NA,6/29/2014,0:00:00,DS,31.2,-77.8,20,1017,20,1017
NA,6/29/2014,3:00:00,DS,30.83,-77.58,,,20,1017
NA,6/29/2014,6:00:00,DS,30.5,-77.4,20,1017,20,1017
NA,6/29/2014,9:00:00,DS,30.22,-77.27,,,20,1016
NA,6/29/2014,12:00:00,DS,30,-77.2,20,1016,20,1016
NA,6/29/2014,15:00:00,DS,29.83,-77.16,,,22,1015
NA,6/29/2014,18:00:00,DS,29.7,-77.2,25,1015,25,1015
NA,6/29/2014,21:00:00,DS,29.6,-77.31,,,25,1014
NA,6/30/2014,0:00:00,DS,29.5,-77.5,25,1014,25,1014
NA,6/30/2014,3:00:00,DS,29.37,-77.74,,,25,1013
NA,6/30/2014,6:00:00,DS,29.2,-78,25,1013,25,1013
NA,6/30/2014,9:00:00,DS,28.97,-78.21,,,25,1012
NA,6/30/2014,12:00:00,DS,28.7,-78.4,25,1011,25,1011
NA,6/30/2014,15:00:00,DS,28.39,-78.57,,,27,1010
NA,6/30/2014,18:00:00,DS,28.1,-78.7,30,1010,30,1010
NA,6/30/2014,21:00:00,DS,27.87,-78.81,,,30,1009
NA,7/1/2014,0:00:00,TS,27.7,-78.9,30,1008,30,1008
NA,7/1/2014,3:00:00,TS,27.57,-79.01,,,30,1007
NA,7/1/2014,6:00:00,TS,27.5,-79.1,30,1007,30,1007
NA,7/1/2014,9:00:00,TS,27.47,-79.16,,,32,1006
NA,7/1/2014,12:00:00,TS,27.5,-79.2,35,1005,35,1005
NA,7/1/2014,15:00:00,TS,27.59,-79.26,,,37,1004
NA,7/1/2014,18:00:00,TS,27.7,-79.3,40,1003,40,1003
NA,7/1/2014,21:00:00,TS,27.79,-79.27,,,42,1001
NA,7/2/2014,0:00:00,TS,27.9,-79.2,45,999,45,999
NA,7/2/2014,3:00:00,TS,28.03,-79.15,,,47,997
NA,7/2/2014,6:00:00,TS,28.2,-79.1,50,995,50,995
NA,7/2/2014,9:00:00,TS,28.42,-79.04,,,52,995
NA,7/2/2014,12:00:00,TS,28.7,-79,55,995,55,995
NA,7/2/2014,15:00:00,TS,29.04,-79.03,,,57,994
NA,7/2/2014,18:00:00,TS,29.4,-79.1,60,994,60,994
NA,7/2/2014,21:00:00,TS,29.74,-79.16,,,62,990
NA,7/3/2014,0:00:00,TS,30.1,-79.2,65,987,65,987
NA,7/3/2014,3:00:00,TS,30.48,-79.18,,,67,985
NA,7/3/2014,6:00:00,TS,30.9,-79.1,70,984,70,984
NA,7/3/2014,9:00:00,TS,31.33,-78.98,,,75,982
NA,7/3/2014,12:00:00,TS,31.8,-78.8,80,981,80,981
NA,7/3/2014,15:00:00,TS,32.33,-78.6,,,80,979
NA,7/3/2014,18:00:00,TS,32.9,-78.3,80,978,80,978
NA,7/3/2014,21:00:00,TS,33.43,-77.86,,,82,976
NA,7/4/2014,0:00:00,TS,34,-77.3,85,975,85,975
NA,7/4/2014,3:00:00,TS,34.65,-76.66,,,85,973
NA,7/4/2014,3:15:00,TS,34.7,-76.6,85,973,85,973
NA,7/4/2014,6:00:00,TS,35.3,-76,85,972,85,972
NA,7/4/2014,8:00:00,TS,35.8,-75.5,85,973,85,973
NA,7/4/2014,9:00:00,TS,36.05,-75.24,,,83,973
NA,7/4/2014,12:00:00,TS,36.8,-74.4,80,976,80,976
NA,7/4/2014,15:00:00,TS,37.58,-73.48,,,75,977
NA,7/4/2014,18:00:00,TS,38.4,-72.4,70,978,70,978
NA,7/4/2014,21:00:00,TS,39.26,-71.06,,,67,977
NA,7/5/2014,0:00:00,TS,40.2,-69.7,65,976,65,976
NA,7/5/2014,3:00:00,TS,41.25,-68.53,,,62,978
NA,7/5/2014,6:00:00,TS,42.3,-67.6,60,981,60,981
NA,7/5/2014,9:00:00,TS,43.22,-66.98,,,60,981
NA,7/5/2014,12:00:00,ET,44.1,-66.5,60,982,60,982
NA,7/5/2014,15:00:00,ET,45.04,-65.91,,,57,981
NA,7/5/2014,18:00:00,ET,45.9,-65.3,55,980,55,980
NA,7/5/2014,21:00:00,ET,46.6,-64.68,,,52,980
NA,7/6/2014,0:00:00,ET,47.1,-64,50,981,50,981
NA,7/6/2014,3:00:00,ET,47.37,-63.26,,,47,981
NA,7/6/2014,6:00:00,ET,47.6,-62.4,45,982,45,982
NA,7/6/2014,9:00:00,ET,47.95,-61.33,,,42,984
NA,7/6/2014,12:00:00,ET,48.5,-60.2,40,986,40,986
NA,7/6/2014,15:00:00,ET,49.32,-59.11,,,37,987
NA,7/6/2014,18:00:00,ET,50.3,-58.1,35,989,35,989
NA,7/6/2014,21:00:00,ET,51.29,-57.17,,,35,988
NA,7/7/2014,0:00:00,ET,52.3,-56.4,35,988,35,988
NA,7/7/2014,3:00:00,ET,53.26,-55.82,,,35,986
NA,7/7/2014,6:00:00,ET,54.2,-55.4,35,985,35,985
NA,7/7/2014,9:00:00,ET,55.14,-55.01,,,35,984
NA,7/7/2014,12:00:00,ET,56,-54.7,35,984,35,984
NA,7/7/2014,15:00:00,ET,56.72,-54.4,,,37,984
NA,7/7/2014,18:00:00,ET,57.3,-54.2,40,985,40,985
NA,7/7/2014,21:00:00,ET,57.74,-54.07,,,42,986
NA,7/8/2014,0:00:00,ET,58.1,-54.1,45,988,45,988
NA,7/8/2014,3:00:00,ET,58.52,-54.29,,,42,989
NA,7/8/2014,6:00:00,ET,58.9,-54.7,40,991,40,991
NA,7/8/2014,9:00:00,ET,59.17,-55.38,,,37,992
NA,7/8/2014,12:00:00,ET,59.4,-56.1,35,993,35,993
NA,7/8/2014,15:00:00,ET,59.71,-56.68,,,32,994
NA,7/8/2014,18:00:00,ET,60,-57,30,995,30,995
NA,7/8/2014,21:00:00,ET,60.21,-56.96,,,30,996
NA,7/9/2014,0:00:00,ET,60.3,-56.7,30,997,30,997
NA,7/9/2014,3:00:00,ET,60.25,-56.46,,,27,999
NA,7/9/2014,6:00:00,ET,60.1,-56.2,25,1001,25,1001
NA,7/9/2014,9:00:00,ET,59.96,-55.97,,,25,1003
NA,7/9/2014,12:00:00,ET,59.8,-55.7,25,1005,25,1005
NA,7/9/2014,15:00:00,ET,59.65,-55.37,,,25,1006
NA,7/9/2014,18:00:00,ET,59.5,-55,25,1008,25,1008
