DATE,ISO_TIME,NATURE,LAT,LON,USA WIND,USA PRES
7/4/20,18:00:00,NR,28.2,-89.9,20,1013
7/4/20,21:00:00,NR,28.2,-89.71,20,1013
7/5/20,0:00:00,NR,28.2,-89.5,20,1013
7/5/20,3:00:00,NR,28.2,-89.27,20,1013
7/5/20,6:00:00,NR,28.2,-89,20,1013
7/5/20,9:00:00,NR,28.18,-88.68,20,1012
7/5/20,12:00:00,DS,28.2,-88.3,20,1012
7/5/20,15:00:00,DS,28.25,-87.89,22,1011
7/5/20,18:00:00,DS,28.4,-87.4,25,1010
7/5/20,21:00:00,DS,28.65,-86.74,27,1009
7/6/20,0:00:00,DS,29,-86.1,30,1008
7/6/20,3:00:00,DS,29.42,-85.67,30,1008
7/6/20,6:00:00,DS,29.9,-85.4,30,1009
7/6/20,9:00:00,DS,30.41,-85.23,25,1010
7/6/20,12:00:00,DS,30.9,-85.1,20,1011
7/6/20,15:00:00,DS,31.28,-84.86,20,1012
7/6/20,18:00:00,DS,31.6,-84.6,20,1013
7/6/20,21:00:00,DS,31.91,-84.33,20,1012
7/7/20,0:00:00,DS,32.2,-84.1,20,1012
7/7/20,3:00:00,DS,32.51,-83.95,20,1013
7/7/20,6:00:00,DS,32.8,-83.8,20,1014
7/7/20,9:00:00,DS,33.09,-83.58,20,1014
7/7/20,12:00:00,DS,33.3,-83.3,20,1014
7/7/20,15:00:00,DS,33.34,-82.99,20,1014
7/7/20,18:00:00,DS,33.3,-82.6,20,1014
7/7/20,21:00:00,DS,33.3,-82.13,20,1013
7/8/20,0:00:00,DS,33.3,-81.6,20,1013
7/8/20,3:00:00,DS,33.3,-81.07,20,1012
7/8/20,6:00:00,DS,33.3,-80.5,20,1012
7/8/20,9:00:00,DS,33.27,-79.86,20,1011
7/8/20,12:00:00,DS,33.3,-79.2,20,1011
7/8/20,15:00:00,DS,33.49,-78.51,22,1010
7/8/20,18:00:00,DS,33.7,-77.9,25,1010
7/8/20,21:00:00,DS,33.81,-77.42,25,1009
7/9/20,0:00:00,DS,33.9,-77.1,25,1009
7/9/20,3:00:00,DS,34.01,-76.89,25,1008
7/9/20,6:00:00,DS,34.1,-76.8,25,1008
7/9/20,9:00:00,DS,34.02,-76.92,27,1007
7/9/20,12:00:00,DS,34.1,-76.8,30,1007
7/9/20,15:00:00,DS,34.72,-75.86,35,1006
7/9/20,18:00:00,TS,35.4,-74.9,40,1005
7/9/20,21:00:00,TS,35.64,-74.77,40,1005
7/10/20,0:00:00,TS,35.9,-74.8,40,1005
7/10/20,3:00:00,TS,36.33,-74.8,42,1005
7/10/20,6:00:00,TS,36.8,-74.8,45,1005
7/10/20,9:00:00,TS,37.17,-74.77,45,1001
7/10/20,12:00:00,TS,37.6,-74.7,45,998
7/10/20,15:00:00,TS,38.21,-74.55,47,998
7/10/20,18:00:00,TS,38.9,-74.4,50,998
7/10/20,21:00:00,TS,39.55,-74.33,42,999
7/11/20,0:00:00,TS,40.2,-74.3,35,1000
7/11/20,3:00:00,TS,40.85,-74.26,32,1000
7/11/20,6:00:00,DS,41.5,-74.2,30,1001
