BASIN,DATE,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
,,,,degrees north,degrees east,kts,mb,kts,mb
NA,8/28/2016,18:00:00,TS,23.8,-81.4,30,1009,30,1009
NA,8/28/2016,21:00:00,TS,23.56,-81.91,,,30,1008
NA,8/29/2016,0:00:00,TS,23.4,-82.4,30,1007,30,1007
NA,8/29/2016,3:00:00,TS,23.36,-82.87,,,30,1007
NA,8/29/2016,6:00:00,TS,23.4,-83.3,30,1007,30,1007
NA,8/29/2016,9:00:00,TS,23.43,-83.67,,,30,1007
NA,8/29/2016,12:00:00,TS,23.5,-84,30,1007,30,1007
NA,8/29/2016,15:00:00,TS,23.6,-84.29,,,30,1006
NA,8/29/2016,18:00:00,TS,23.7,-84.6,30,1005,30,1005
NA,8/29/2016,21:00:00,TS,23.77,-84.99,,,30,1004
NA,8/30/2016,0:00:00,TS,23.8,-85.4,30,1003,30,1003
NA,8/30/2016,3:00:00,TS,23.8,-85.82,,,30,1003
NA,8/30/2016,6:00:00,TS,23.8,-86.2,30,1003,30,1003
NA,8/30/2016,9:00:00,TS,23.84,-86.52,,,30,1003
NA,8/30/2016,12:00:00,TS,23.9,-86.8,30,1003,30,1003
NA,8/30/2016,15:00:00,TS,23.95,-87.06,,,30,1003
NA,8/30/2016,18:00:00,TS,24,-87.3,30,1003,30,1003
NA,8/30/2016,21:00:00,TS,24.04,-87.57,,,30,1003
NA,8/31/2016,0:00:00,TS,24.1,-87.8,30,1003,30,1003
NA,8/31/2016,3:00:00,TS,24.23,-87.94,,,32,1003
NA,8/31/2016,6:00:00,TS,24.4,-88,35,1003,35,1003
NA,8/31/2016,9:00:00,TS,24.6,-87.98,,,37,1003
NA,8/31/2016,12:00:00,TS,24.8,-87.9,40,1003,40,1003
NA,8/31/2016,15:00:00,TS,24.95,-87.83,,,42,1002
NA,8/31/2016,18:00:00,TS,25.1,-87.7,45,1002,45,1002
NA,8/31/2016,21:00:00,TS,25.29,-87.47,,,47,1000
NA,9/1/2016,0:00:00,TS,25.5,-87.2,50,999,50,999
NA,9/1/2016,3:00:00,TS,25.71,-87.01,,,52,997
NA,9/1/2016,6:00:00,TS,26,-86.8,55,995,55,995
NA,9/1/2016,9:00:00,TS,26.41,-86.52,,,57,993
NA,9/1/2016,12:00:00,TS,26.9,-86.2,60,991,60,991
NA,9/1/2016,15:00:00,TS,27.38,-85.86,,,62,989
NA,9/1/2016,18:00:00,TS,27.9,-85.5,65,988,65,988
NA,9/1/2016,21:00:00,TS,28.43,-85.15,,,67,985
NA,9/2/2016,0:00:00,TS,29,-84.8,70,983,70,983
NA,9/2/2016,3:00:00,TS,29.43,-84.48,,,70,981
NA,9/2/2016,5:30:00,TS,30.1,-84.1,70,981,70,981
NA,9/2/2016,6:00:00,TS,30.3,-84,65,982,65,982
NA,9/2/2016,8:00:00,TS,30.6,-83.8,60,984,60,984
