BASIN,DATE,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
,,,,degrees north,degrees east,kts,mb,kts,mb
NA,8/21/2011,0:00:00,TS,15,-59,45,1006,45,1006
NA,8/21/2011,3:00:00,TS,15.52,-59.8,,,45,1006
NA,8/21/2011,6:00:00,TS,16,-60.6,45,1006,45,1006
NA,8/21/2011,9:00:00,TS,16.42,-61.41,,,45,1005
NA,8/21/2011,12:00:00,TS,16.8,-62.2,45,1005,45,1005
NA,8/21/2011,15:00:00,TS,17.19,-62.99,,,47,1002
NA,8/21/2011,18:00:00,TS,17.5,-63.7,50,999,50,999
NA,8/21/2011,21:00:00,TS,17.66,-64.1,,,55,995
NA,8/21/2011,23:00:00,TS,17.8,-64.6,60,993,60,993
NA,8/22/2011,0:00:00,TS,17.9,-65,60,993,60,993
NA,8/22/2011,3:00:00,TS,17.95,-65.56,,,60,991
NA,8/22/2011,5:25:00,TS,18.1,-65.8,60,990,60,990
NA,8/22/2011,6:00:00,TS,18.2,-65.9,65,990,65,990
NA,8/22/2011,9:00:00,TS,18.61,-66.45,,,67,989
NA,8/22/2011,12:00:00,TS,18.9,-67,70,989,70,989
NA,8/22/2011,15:00:00,TS,19.12,-67.52,,,72,988
NA,8/22/2011,18:00:00,TS,19.3,-68,75,988,75,988
NA,8/22/2011,21:00:00,TS,19.5,-68.41,,,77,984
NA,8/23/2011,0:00:00,TS,19.7,-68.8,80,981,80,981
NA,8/23/2011,3:00:00,TS,19.91,-69.24,,,80,979
NA,8/23/2011,6:00:00,TS,20.1,-69.7,80,978,80,978
NA,8/23/2011,9:00:00,TS,20.26,-70.17,,,80,978
NA,8/23/2011,12:00:00,TS,20.4,-70.6,80,978,80,978
NA,8/23/2011,15:00:00,TS,20.55,-70.92,,,80,977
NA,8/23/2011,18:00:00,TS,20.7,-71.2,80,977,80,977
NA,8/23/2011,21:00:00,TS,20.85,-71.55,,,80,973
NA,8/24/2011,0:00:00,TS,21,-71.9,80,969,80,969
NA,8/24/2011,3:00:00,TS,21.13,-72.19,,,87,967
NA,8/24/2011,6:00:00,TS,21.3,-72.5,95,965,95,965
NA,8/24/2011,9:00:00,TS,21.56,-72.86,,,100,961
NA,8/24/2011,12:00:00,TS,21.9,-73.3,105,957,105,957
NA,8/24/2011,15:00:00,TS,22.26,-73.83,,,101,955
NA,8/24/2011,16:00:00,TS,22.4,-74,100,955,100,955
NA,8/24/2011,18:00:00,TS,22.7,-74.3,100,954,100,954
NA,8/24/2011,21:00:00,TS,23.12,-74.71,,,97,953
NA,8/25/2011,0:00:00,TS,23.5,-75.1,95,952,95,952
NA,8/25/2011,3:00:00,TS,23.75,-75.52,,,95,951
NA,8/25/2011,6:00:00,TS,24.1,-75.9,95,950,95,950
NA,8/25/2011,9:00:00,TS,24.7,-76.2,90,950,90,950
NA,8/25/2011,12:00:00,TS,25.4,-76.6,90,950,90,950
NA,8/25/2011,15:00:00,TS,25.97,-76.95,,,90,950
NA,8/25/2011,18:00:00,TS,26.5,-77.2,90,950,90,950
NA,8/25/2011,21:00:00,TS,27.1,-77.3,,,90,948
NA,8/26/2011,0:00:00,TS,27.7,-77.3,90,946,90,946
NA,8/26/2011,3:00:00,TS,28.25,-77.3,,,90,944
NA,8/26/2011,6:00:00,TS,28.8,-77.3,90,942,90,942
NA,8/26/2011,9:00:00,TS,29.4,-77.34,,,87,944
NA,8/26/2011,12:00:00,TS,30,-77.4,85,947,85,947
NA,8/26/2011,15:00:00,TS,30.56,-77.49,,,82,948
NA,8/26/2011,18:00:00,TS,31.1,-77.5,80,950,80,950
NA,8/26/2011,21:00:00,TS,31.59,-77.33,,,77,951
NA,8/27/2011,0:00:00,TS,32.1,-77.1,75,952,75,952
NA,8/27/2011,3:00:00,TS,32.73,-76.93,,,75,952
NA,8/27/2011,6:00:00,TS,33.4,-76.8,75,952,75,952
NA,8/27/2011,9:00:00,TS,34.09,-76.7,,,75,952
NA,8/27/2011,12:00:00,TS,34.7,-76.6,75,952,75,952
NA,8/27/2011,15:00:00,TS,35.11,-76.48,,,70,951
NA,8/27/2011,18:00:00,TS,35.5,-76.3,65,950,65,950
NA,8/27/2011,21:00:00,TS,36.06,-76.03,,,65,950
NA,8/28/2011,0:00:00,TS,36.7,-75.7,65,951,65,951
NA,8/28/2011,3:00:00,TS,37.31,-75.38,,,65,954
NA,8/28/2011,6:00:00,TS,38.1,-75,65,958,65,958
NA,8/28/2011,9:00:00,TS,39.18,-74.49,,,60,958
NA,8/28/2011,9:35:00,TS,39.4,-74.4,60,959,60,959
NA,8/28/2011,12:00:00,TS,40.3,-74.1,55,963,55,963
NA,8/28/2011,13:00:00,TS,40.6,-74,55,965,55,965
NA,8/28/2011,15:00:00,TS,41.32,-73.69,,,53,966
NA,8/28/2011,18:00:00,TS,42.5,-73.1,50,970,50,970
NA,8/28/2011,21:00:00,TS,43.35,-72.7,,,47,974
NA,8/29/2011,0:00:00,ET,44.2,-72.1,45,979,45,979
NA,8/29/2011,3:00:00,ET,45.28,-70.94,,,42,981
NA,8/29/2011,6:00:00,ET,46.5,-69.5,40,983,40,983
NA,8/29/2011,9:00:00,ET,47.81,-68.12,,,40,984
NA,8/29/2011,12:00:00,ET,49.1,-66.7,40,985,40,985
NA,8/29/2011,15:00:00,ET,50.26,-65.32,,,40,986
NA,8/29/2011,18:00:00,ET,51.3,-63.8,40,987,40,987
NA,8/29/2011,21:00:00,ET,52.2,-62,,,40,989
NA,8/30/2011,0:00:00,ET,53,-60,40,991,40,991
