DATE,ISO_TIME_________,NATURE,LAT,LON,USA WIND,USA PRES
7/23/20,18:00:00,NR,11.1,-17.1,20,1010
7/23/20,21:00:00,NR,11.1,-17.65,20,1010
7/24/20,0:00:00,NR,11.1,-18.2,20,1010
7/24/20,3:00:00,NR,11.1,-18.75,20,1010
7/24/20,6:00:00,NR,11.1,-19.3,20,1010
7/24/20,9:00:00,NR,11.11,-19.8,20,1010
7/24/20,12:00:00,NR,11.1,-20.4,20,1010
7/24/20,15:00:00,NR,11.06,-21.18,20,1010
7/24/20,18:00:00,DS,11,-22.1,20,1010
7/24/20,21:00:00,DS,10.9,-23.14,20,1010
7/25/20,0:00:00,DS,10.8,-24.2,20,1010
7/25/20,3:00:00,DS,10.74,-25.11,22,1010
7/25/20,6:00:00,DS,10.7,-26,25,1010
7/25/20,9:00:00,DS,10.64,-26.99,25,1010
7/25/20,12:00:00,DS,10.6,-28,25,1010
7/25/20,15:00:00,DS,10.54,-29,25,1010
7/25/20,18:00:00,DS,10.6,-30,25,1010
7/25/20,21:00:00,DS,10.93,-30.96,22,1010
7/26/20,0:00:00,NR,11.3,-32,20,1010
7/26/20,3:00:00,NR,11.44,-33.22,20,1010
7/26/20,6:00:00,NR,11.5,-34.5,20,1010
7/26/20,9:00:00,NR,11.61,-35.77,22,1010
7/26/20,12:00:00,NR,11.7,-36.9,25,1010
7/26/20,15:00:00,NR,11.76,-37.75,25,1010
7/26/20,18:00:00,NR,11.8,-38.5,25,1010
7/26/20,21:00:00,NR,11.86,-39.35,25,1009
7/27/20,0:00:00,NR,11.9,-40.3,25,1009
7/27/20,3:00:00,NR,11.9,-41.43,25,1009
7/27/20,6:00:00,NR,11.9,-42.6,25,1009
7/27/20,9:00:00,NR,11.94,-43.69,25,1009
7/27/20,12:00:00,DS,12,-44.7,25,1009
7/27/20,15:00:00,DS,12.05,-45.57,25,1008
7/27/20,18:00:00,DS,12.1,-46.4,25,1008
7/27/20,21:00:00,DS,12.15,-47.21,25,1008
7/28/20,0:00:00,DS,12.2,-48.2,25,1008
7/28/20,3:00:00,DS,12.24,-49.57,27,1008
7/28/20,6:00:00,DS,12.3,-51.1,30,1008
7/28/20,9:00:00,DS,12.35,-52.59,32,1007
7/28/20,12:00:00,DS,12.83,-53.6,35,1007
7/28/20,15:00:00,DS,13.33,-54.47,35,1007
7/28/20,18:00:00,DS,13.74,-55.5,35,1007
7/28/20,21:00:00,DS,14,-56.91,37,1006
7/29/20,0:00:00,DS,14.2,-58.4,40,1006
7/29/20,3:00:00,DS,14.53,-59.46,40,1006
7/29/20,6:00:00,DS,14.9,-60.43,40,1006
7/29/20,9:00:00,DS,15.24,-61.62,40,1006
7/29/20,12:00:00,DS,15.53,-62.8,40,1006
7/29/20,15:00:00,DS,15.76,-63.86,40,1005
7/29/20,18:00:00,DS,15.87,-64.77,40,1005
7/29/20,21:00:00,DS,15.69,-65.5,42,1004
7/30/20,0:00:00,TS,15.63,-66.1,45,1004
7/30/20,3:00:00,TS,16.07,-66.65,47,1003
7/30/20,6:00:00,TS,16.7,-67.2,50,1003
7/30/20,9:00:00,TS,17.18,-67.83,52,1002
7/30/20,12:00:00,TS,17.7,-68.5,55,1002
7/30/20,15:00:00,TS,18.38,-69.18,57,1000
7/30/20,18:00:00,TS,19.03,-69.87,60,999
7/30/20,21:00:00,TS,19.52,-70.52,62,997
