BASIN,DATE,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
,,,,degrees north,degrees east,kts,mb,kts,mb
NA,9/4/2017,6:00:00,DS,9.3,-33.5,20,1010,20,1010
NA,9/4/2017,9:00:00,DS,9.66,-34.23,,,22,1010
NA,9/4/2017,12:00:00,DS,10,-34.9,25,1010,25,1010
NA,9/4/2017,15:00:00,DS,10.31,-35.48,,,25,1010
NA,9/4/2017,18:00:00,DS,10.6,-36,25,1010,25,1010
NA,9/4/2017,21:00:00,DS,10.86,-36.52,,,25,1009
NA,9/5/2017,0:00:00,DS,11.1,-37,25,1009,25,1009
NA,9/5/2017,3:00:00,DS,11.36,-37.46,,,27,1008
NA,9/5/2017,6:00:00,TS,11.6,-37.9,30,1008,30,1008
NA,9/5/2017,9:00:00,TS,11.82,-38.33,,,32,1008
NA,9/5/2017,12:00:00,TS,12,-38.8,35,1008,35,1008
NA,9/5/2017,15:00:00,TS,12.13,-39.37,,,37,1007
NA,9/5/2017,18:00:00,TS,12.2,-40,40,1006,40,1006
NA,9/5/2017,21:00:00,TS,12.19,-40.64,,,42,1005
NA,9/6/2017,0:00:00,TS,12.2,-41.3,45,1004,45,1004
NA,9/6/2017,3:00:00,TS,12.3,-41.95,,,47,1002
NA,9/6/2017,6:00:00,TS,12.5,-42.6,50,1001,50,1001
NA,9/6/2017,9:00:00,TS,12.78,-43.25,,,52,999
NA,9/6/2017,12:00:00,TS,13.1,-43.9,55,998,55,998
NA,9/6/2017,15:00:00,TS,13.41,-44.54,,,60,996
NA,9/6/2017,18:00:00,TS,13.7,-45.2,65,995,65,995
NA,9/6/2017,21:00:00,TS,13.92,-45.93,,,67,994
NA,9/7/2017,0:00:00,TS,14.1,-46.7,70,993,70,993
NA,9/7/2017,3:00:00,TS,14.26,-47.49,,,75,989
NA,9/7/2017,6:00:00,TS,14.4,-48.3,80,986,80,986
NA,9/7/2017,9:00:00,TS,14.54,-49.1,,,85,981
NA,9/7/2017,12:00:00,TS,14.7,-49.9,90,977,90,977
NA,9/7/2017,15:00:00,TS,14.89,-50.69,,,95,973
NA,9/7/2017,18:00:00,TS,15.1,-51.5,100,969,100,969
NA,9/7/2017,21:00:00,TS,15.3,-52.34,,,102,966
NA,9/8/2017,0:00:00,TS,15.5,-53.2,105,964,105,964
NA,9/8/2017,3:00:00,TS,15.71,-54.06,,,110,959
NA,9/8/2017,6:00:00,TS,15.9,-54.9,115,955,115,955
NA,9/8/2017,9:00:00,TS,16.01,-55.67,,,122,947
NA,9/8/2017,12:00:00,TS,16.1,-56.4,130,940,130,940
NA,9/8/2017,15:00:00,TS,16.24,-57.13,,,132,939
NA,9/8/2017,18:00:00,TS,16.4,-57.8,135,939,135,939
NA,9/8/2017,21:00:00,TS,16.53,-58.38,,,135,938
NA,9/9/2017,0:00:00,TS,16.7,-58.9,135,938,135,938
NA,9/9/2017,3:00:00,TS,16.92,-59.42,,,132,939
NA,9/9/2017,6:00:00,TS,17.2,-59.9,130,940,130,940
NA,9/9/2017,9:00:00,TS,17.53,-60.35,,,127,940
NA,9/9/2017,12:00:00,TS,17.9,-60.8,125,941,125,941
NA,9/9/2017,15:00:00,TS,18.24,-61.29,,,122,941
NA,9/9/2017,18:00:00,TS,18.6,-61.8,120,942,120,942
NA,9/9/2017,21:00:00,TS,18.98,-62.34,,,117,942
NA,9/10/2017,0:00:00,TS,19.4,-62.9,115,943,115,943
NA,9/10/2017,3:00:00,TS,19.84,-63.44,,,115,944
NA,9/10/2017,6:00:00,TS,20.3,-64,115,945,115,945
NA,9/10/2017,9:00:00,TS,20.74,-64.64,,,115,946
NA,9/10/2017,12:00:00,TS,21.2,-65.3,115,948,115,948
NA,9/10/2017,15:00:00,TS,21.68,-65.92,,,110,952
NA,9/10/2017,18:00:00,TS,22.2,-66.5,105,956,105,956
NA,9/10/2017,21:00:00,TS,22.75,-67.07,,,102,959
NA,9/11/2017,0:00:00,TS,23.3,-67.6,100,962,100,962
NA,9/11/2017,3:00:00,TS,23.8,-68.12,,,95,965
NA,9/11/2017,6:00:00,TS,24.3,-68.6,90,968,90,968
NA,9/11/2017,9:00:00,TS,24.84,-69.07,,,87,970
NA,9/11/2017,12:00:00,TS,25.4,-69.4,85,972,85,972
NA,9/11/2017,15:00:00,TS,25.98,-69.52,,,82,973
NA,9/11/2017,18:00:00,TS,26.5,-69.5,80,974,80,974
NA,9/11/2017,21:00:00,TS,26.9,-69.48,,,77,975
NA,9/12/2017,0:00:00,TS,27.2,-69.4,75,977,75,977
NA,9/12/2017,3:00:00,TS,27.44,-69.3,,,72,978
NA,9/12/2017,6:00:00,TS,27.6,-69.1,70,979,70,979
NA,9/12/2017,9:00:00,TS,27.7,-68.75,,,70,979
NA,9/12/2017,12:00:00,TS,27.7,-68.3,70,979,70,979
NA,9/12/2017,15:00:00,TS,27.6,-67.84,,,70,979
NA,9/12/2017,18:00:00,TS,27.4,-67.4,70,980,70,980
NA,9/12/2017,21:00:00,TS,27.11,-67.02,,,70,980
NA,9/13/2017,0:00:00,TS,26.8,-66.7,70,981,70,981
NA,9/13/2017,3:00:00,TS,26.54,-66.43,,,70,981
NA,9/13/2017,6:00:00,TS,26.3,-66.2,70,981,70,981
NA,9/13/2017,9:00:00,TS,26.04,-65.98,,,70,981
NA,9/13/2017,12:00:00,TS,25.8,-65.8,70,981,70,981
NA,9/13/2017,15:00:00,TS,25.58,-65.66,,,70,981
NA,9/13/2017,18:00:00,TS,25.4,-65.6,70,981,70,981
NA,9/13/2017,21:00:00,TS,25.23,-65.62,,,70,981
NA,9/14/2017,0:00:00,TS,25.1,-65.7,70,981,70,981
NA,9/14/2017,3:00:00,TS,24.98,-65.78,,,70,981
NA,9/14/2017,6:00:00,TS,24.9,-65.9,70,981,70,981
NA,9/14/2017,9:00:00,TS,24.82,-66.07,,,67,982
NA,9/14/2017,12:00:00,TS,24.8,-66.3,65,983,65,983
NA,9/14/2017,15:00:00,TS,24.86,-66.58,,,65,984
NA,9/14/2017,18:00:00,TS,25,-66.9,65,985,65,985
NA,9/14/2017,21:00:00,TS,25.19,-67.25,,,62,986
NA,9/15/2017,0:00:00,TS,25.4,-67.6,60,988,60,988
NA,9/15/2017,3:00:00,TS,25.59,-67.89,,,60,988
NA,9/15/2017,6:00:00,TS,25.8,-68.2,60,988,60,988
NA,9/15/2017,9:00:00,TS,26.04,-68.58,,,60,987
NA,9/15/2017,12:00:00,TS,26.3,-69,60,986,60,986
NA,9/15/2017,15:00:00,TS,26.56,-69.45,,,62,984
NA,9/15/2017,18:00:00,TS,26.8,-69.9,65,983,65,983
NA,9/15/2017,21:00:00,TS,27,-70.32,,,65,983
NA,9/16/2017,0:00:00,TS,27.2,-70.7,65,983,65,983
NA,9/16/2017,3:00:00,TS,27.44,-71.08,,,65,983
NA,9/16/2017,6:00:00,TS,27.7,-71.4,65,983,65,983
NA,9/16/2017,9:00:00,TS,27.96,-71.64,,,65,981
NA,9/16/2017,12:00:00,TS,28.2,-71.8,65,980,65,980
NA,9/16/2017,15:00:00,TS,28.4,-71.93,,,65,976
NA,9/16/2017,18:00:00,TS,28.6,-72,65,973,65,973
NA,9/16/2017,21:00:00,TS,28.83,-72.02,,,67,972
NA,9/17/2017,0:00:00,TS,29.1,-72,70,971,70,971
NA,9/17/2017,3:00:00,TS,29.43,-72.01,,,72,970
NA,9/17/2017,6:00:00,TS,29.8,-72,75,969,75,969
NA,9/17/2017,9:00:00,TS,30.15,-71.96,,,77,968
NA,9/17/2017,12:00:00,TS,30.5,-71.9,80,967,80,967
NA,9/17/2017,15:00:00,TS,30.85,-71.86,,,80,967
NA,9/17/2017,18:00:00,TS,31.2,-71.8,80,967,80,967
NA,9/17/2017,21:00:00,TS,31.54,-71.71,,,80,969
NA,9/18/2017,0:00:00,TS,31.9,-71.6,80,972,80,972
NA,9/18/2017,3:00:00,TS,32.29,-71.5,,,77,973
NA,9/18/2017,6:00:00,TS,32.7,-71.4,75,974,75,974
NA,9/18/2017,9:00:00,TS,33.11,-71.29,,,72,975
NA,9/18/2017,12:00:00,TS,33.5,-71.2,70,976,70,976
NA,9/18/2017,15:00:00,TS,33.86,-71.17,,,67,975
NA,9/18/2017,18:00:00,TS,34.2,-71.2,65,975,65,975
NA,9/18/2017,21:00:00,TS,34.55,-71.28,,,65,973
NA,9/19/2017,0:00:00,TS,34.9,-71.4,65,972,65,972
NA,9/19/2017,3:00:00,TS,35.25,-71.51,,,65,971
NA,9/19/2017,6:00:00,TS,35.6,-71.6,65,971,65,971
NA,9/19/2017,9:00:00,TS,35.95,-71.68,,,62,972
NA,9/19/2017,12:00:00,TS,36.3,-71.7,60,973,60,973
NA,9/19/2017,15:00:00,TS,36.66,-71.63,,,60,973
NA,9/19/2017,18:00:00,TS,37,-71.5,60,973,60,973
NA,9/19/2017,21:00:00,TS,37.31,-71.36,,,60,973
NA,9/20/2017,0:00:00,TS,37.6,-71.2,60,973,60,973
NA,9/20/2017,3:00:00,TS,37.85,-71.02,,,60,974
NA,9/20/2017,6:00:00,TS,38.1,-70.8,60,975,60,975
NA,9/20/2017,9:00:00,TS,38.4,-70.53,,,60,975
NA,9/20/2017,12:00:00,TS,38.7,-70.2,60,976,60,976
NA,9/20/2017,15:00:00,TS,38.98,-69.82,,,60,976
NA,9/20/2017,18:00:00,TS,39.2,-69.4,60,976,60,976
NA,9/20/2017,21:00:00,TS,39.32,-68.92,,,57,977
NA,9/21/2017,0:00:00,TS,39.4,-68.5,55,979,55,979
NA,9/21/2017,3:00:00,TS,39.56,-68.24,,,55,980
NA,9/21/2017,6:00:00,TS,39.7,-68.1,55,982,55,982
NA,9/21/2017,9:00:00,TS,39.74,-68.02,,,55,983
NA,9/21/2017,12:00:00,TS,39.7,-68,55,984,55,984
NA,9/21/2017,15:00:00,TS,39.6,-67.98,,,52,984
NA,9/21/2017,18:00:00,TS,39.5,-68,50,984,50,984
NA,9/21/2017,21:00:00,TS,39.48,-68.07,,,47,985
NA,9/22/2017,0:00:00,TS,39.5,-68.2,45,986,45,986
NA,9/22/2017,3:00:00,TS,39.54,-68.38,,,45,987
NA,9/22/2017,6:00:00,TS,39.6,-68.6,45,989,45,989
NA,9/22/2017,9:00:00,TS,39.66,-68.82,,,42,990
NA,9/22/2017,12:00:00,TS,39.7,-69,40,992,40,992
NA,9/22/2017,15:00:00,TS,39.71,-69.07,,,40,994
