BASIN,DATE,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
,,,,degrees north,degrees east,kts,mb,kts,mb
NA,9/16/2017,12:00:00,TS,12.2,-49.7,30,1006,30,1006
NA,9/16/2017,15:00:00,TS,12.19,-50.76,,,35,1005
NA,9/16/2017,18:00:00,TS,12.2,-51.7,40,1004,40,1004
NA,9/16/2017,21:00:00,TS,12.27,-52.45,,,42,1003
NA,9/17/2017,0:00:00,TS,12.4,-53.1,45,1002,45,1002
NA,9/17/2017,3:00:00,TS,12.58,-53.76,,,50,998
NA,9/17/2017,6:00:00,TS,12.8,-54.4,55,994,55,994
NA,9/17/2017,9:00:00,TS,13.06,-55.05,,,57,992
NA,9/17/2017,12:00:00,TS,13.3,-55.7,60,990,60,990
NA,9/17/2017,15:00:00,TS,13.46,-56.37,,,62,988
NA,9/17/2017,18:00:00,TS,13.6,-57,65,986,65,986
NA,9/17/2017,21:00:00,TS,13.8,-57.52,,,70,982
NA,9/18/2017,0:00:00,TS,14,-58,75,979,75,979
NA,9/18/2017,3:00:00,TS,14.17,-58.52,,,77,978
NA,9/18/2017,6:00:00,TS,14.3,-59,80,977,80,977
NA,9/18/2017,9:00:00,TS,14.39,-59.37,,,90,972
NA,9/18/2017,12:00:00,TS,14.5,-59.7,100,967,100,967
NA,9/18/2017,15:00:00,TS,14.68,-60.05,,,105,961
NA,9/18/2017,18:00:00,TS,14.9,-60.4,110,956,110,956
NA,9/18/2017,21:00:00,TS,15.09,-60.72,,,127,940
NA,9/19/2017,0:00:00,TS,15.3,-61.1,145,924,145,924
NA,9/19/2017,1:15:00,TS,15.4,-61.3,145,922,145,922
NA,9/19/2017,3:00:00,TS,15.52,-61.54,,,141,928
NA,9/19/2017,6:00:00,TS,15.7,-61.9,135,940,135,940
NA,9/19/2017,9:00:00,TS,15.89,-62.3,,,137,935
NA,9/19/2017,12:00:00,TS,16.1,-62.7,140,931,140,931
NA,9/19/2017,15:00:00,TS,16.35,-63.1,,,142,925
NA,9/19/2017,18:00:00,TS,16.6,-63.5,145,920,145,920
NA,9/19/2017,21:00:00,TS,16.79,-63.9,,,147,914
NA,9/20/2017,0:00:00,TS,17,-64.3,150,909,150,909
NA,9/20/2017,3:00:00,TS,17.3,-64.7,150,908,150,908
NA,9/20/2017,6:00:00,TS,17.6,-65.1,140,913,140,913
NA,9/20/2017,9:00:00,TS,17.87,-65.66,,,136,917
NA,9/20/2017,10:15:00,TS,18,-65.9,135,920,135,920
NA,9/20/2017,12:00:00,TS,18.2,-66.2,115,935,115,935
NA,9/20/2017,15:00:00,TS,18.43,-66.64,,,105,947
NA,9/20/2017,18:00:00,TS,18.6,-67,95,959,95,959
NA,9/20/2017,21:00:00,TS,18.8,-67.32,,,95,958
NA,9/21/2017,0:00:00,TS,19,-67.6,95,958,95,958
NA,9/21/2017,3:00:00,TS,19.19,-67.9,,,97,958
NA,9/21/2017,6:00:00,TS,19.4,-68.2,100,959,100,959
NA,9/21/2017,9:00:00,TS,19.63,-68.49,,,100,959
NA,9/21/2017,12:00:00,TS,19.9,-68.8,100,959,100,959
NA,9/21/2017,15:00:00,TS,20.22,-69.16,,,102,959
NA,9/21/2017,18:00:00,TS,20.5,-69.5,105,960,105,960
NA,9/21/2017,21:00:00,TS,20.66,-69.77,,,107,956
NA,9/22/2017,0:00:00,TS,20.8,-70,110,953,110,953
NA,9/22/2017,3:00:00,TS,20.97,-70.26,,,110,956
NA,9/22/2017,6:00:00,TS,21.2,-70.5,110,959,110,959
NA,9/22/2017,9:00:00,TS,21.51,-70.72,,,110,958
NA,9/22/2017,12:00:00,TS,21.9,-70.9,110,958,110,958
NA,9/22/2017,15:00:00,TS,22.33,-71.05,,,110,958
NA,9/22/2017,18:00:00,TS,22.8,-71.2,110,959,110,959
NA,9/22/2017,21:00:00,TS,23.27,-71.4,,,107,956
NA,9/23/2017,0:00:00,TS,23.7,-71.6,105,953,105,953
NA,9/23/2017,3:00:00,TS,24.06,-71.77,,,102,952
NA,9/23/2017,6:00:00,TS,24.4,-71.9,100,952,100,952
NA,9/23/2017,9:00:00,TS,24.74,-72.01,,,100,952
NA,9/23/2017,12:00:00,TS,25.1,-72.1,100,952,100,952
NA,9/23/2017,15:00:00,TS,25.5,-72.21,,,100,952
NA,9/23/2017,18:00:00,TS,25.9,-72.3,100,952,100,952
NA,9/23/2017,21:00:00,TS,26.24,-72.35,,,100,948
NA,9/24/2017,0:00:00,TS,26.6,-72.4,100,945,100,945
NA,9/24/2017,3:00:00,TS,27.04,-72.49,,,97,943
NA,9/24/2017,6:00:00,TS,27.5,-72.6,95,942,95,942
NA,9/24/2017,9:00:00,TS,27.97,-72.71,,,95,944
NA,9/24/2017,12:00:00,TS,28.4,-72.8,95,947,95,947
NA,9/24/2017,15:00:00,TS,28.77,-72.87,,,92,945
NA,9/24/2017,18:00:00,TS,29.1,-72.9,90,943,90,943
NA,9/24/2017,21:00:00,TS,29.41,-72.91,,,87,945
NA,9/25/2017,0:00:00,TS,29.7,-72.9,85,947,85,947
NA,9/25/2017,3:00:00,TS,30.01,-72.89,,,80,950
NA,9/25/2017,6:00:00,TS,30.3,-72.9,75,954,75,954
NA,9/25/2017,9:00:00,TS,30.55,-72.94,,,72,957
NA,9/25/2017,12:00:00,TS,30.8,-73,70,961,70,961
NA,9/25/2017,15:00:00,TS,31.09,-73.06,,,70,963
NA,9/25/2017,18:00:00,TS,31.4,-73.1,70,966,70,966
NA,9/25/2017,21:00:00,TS,31.7,-73.11,,,70,966
NA,9/26/2017,0:00:00,TS,32,-73.1,70,966,70,966
NA,9/26/2017,3:00:00,TS,32.29,-73.1,,,67,968
NA,9/26/2017,6:00:00,TS,32.6,-73.1,65,970,65,970
NA,9/26/2017,9:00:00,TS,32.95,-73.1,,,65,970
NA,9/26/2017,12:00:00,TS,33.3,-73.1,65,970,65,970
NA,9/26/2017,15:00:00,TS,33.61,-73.11,,,65,972
NA,9/26/2017,18:00:00,TS,33.9,-73.1,65,975,65,975
NA,9/26/2017,21:00:00,TS,34.16,-73.06,,,65,975
NA,9/27/2017,0:00:00,TS,34.4,-73,65,975,65,975
NA,9/27/2017,3:00:00,TS,34.65,-72.95,,,65,975
NA,9/27/2017,6:00:00,TS,34.9,-72.9,65,976,65,976
NA,9/27/2017,9:00:00,TS,35.14,-72.86,,,65,976
NA,9/27/2017,12:00:00,TS,35.4,-72.8,65,977,65,977
NA,9/27/2017,15:00:00,TS,35.69,-72.72,,,65,978
NA,9/27/2017,18:00:00,TS,36,-72.6,65,979,65,979
NA,9/27/2017,21:00:00,TS,36.34,-72.45,,,65,979
NA,9/28/2017,0:00:00,TS,36.6,-72.2,65,979,65,979
NA,9/28/2017,3:00:00,TS,36.69,-71.82,,,62,980
NA,9/28/2017,6:00:00,TS,36.7,-71.3,60,982,60,982
NA,9/28/2017,9:00:00,TS,36.76,-70.69,,,60,982
NA,9/28/2017,12:00:00,TS,36.8,-70,60,982,60,982
NA,9/28/2017,15:00:00,TS,36.8,-69.34,,,57,983
NA,9/28/2017,18:00:00,TS,36.8,-68.6,55,985,55,985
NA,9/28/2017,21:00:00,TS,36.84,-67.76,,,55,985
NA,9/29/2017,0:00:00,TS,36.9,-66.8,55,985,55,985
NA,9/29/2017,3:00:00,TS,36.96,-65.76,,,52,986
NA,9/29/2017,6:00:00,TS,37,-64.6,50,987,50,987
NA,9/29/2017,9:00:00,TS,36.98,-63.36,,,50,987
NA,9/29/2017,12:00:00,TS,37,-62,50,988,50,988
NA,9/29/2017,15:00:00,TS,37.15,-60.56,,,50,988
NA,9/29/2017,18:00:00,TS,37.4,-59,50,988,50,988
NA,9/29/2017,21:00:00,TS,37.7,-57.33,,,50,988
NA,9/30/2017,0:00:00,TS,38.1,-55.6,50,988,50,988
NA,9/30/2017,3:00:00,TS,38.58,-53.9,,,50,988
NA,9/30/2017,6:00:00,TS,39.1,-52.2,50,988,50,988
NA,9/30/2017,9:00:00,TS,39.53,-50.48,,,50,988
NA,9/30/2017,12:00:00,TS,40,-48.8,50,988,50,988
NA,9/30/2017,15:00:00,TS,40.59,-47.17,,,47,989
NA,9/30/2017,18:00:00,ET,41.2,-45.6,45,991,45,991
NA,9/30/2017,21:00:00,ET,41.7,-44.09,,,45,992
NA,10/1/2017,0:00:00,ET,42.2,-42.6,45,994,45,994
NA,10/1/2017,3:00:00,ET,42.76,-41.06,,,45,995
NA,10/1/2017,6:00:00,ET,43.4,-39.4,45,996,45,996
NA,10/1/2017,9:00:00,ET,44.12,-37.54,,,45,997
NA,10/1/2017,12:00:00,ET,44.9,-35.5,45,999,45,999
NA,10/1/2017,15:00:00,ET,45.74,-33.3,,,45,1001
NA,10/1/2017,18:00:00,ET,46.5,-31,45,1003,45,1003
NA,10/1/2017,21:00:00,ET,47.08,-28.75,,,42,1004
NA,10/2/2017,0:00:00,ET,47.5,-26.5,40,1005,40,1005
NA,10/2/2017,3:00:00,ET,47.82,-24.29,,,40,1008
NA,10/2/2017,6:00:00,ET,48,-22,40,1012,40,1012
NA,10/2/2017,9:00:00,ET,48.05,-19.55,,,35,1014
NA,10/2/2017,12:00:00,ET,48,-17,30,1016,30,1016
