BASIN,DATE,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
,,,,degrees north,degrees east,kts,mb,kts,mb
NA,10/21/2012,18:00:00,DS,14.3,-77.4,25,1006,25,1006
NA,10/21/2012,21:00:00,DS,14.1,-77.6,,,25,1005
NA,10/22/2012,0:00:00,DS,13.9,-77.8,25,1005,25,1005
NA,10/22/2012,3:00:00,DS,13.7,-78,,,25,1004
NA,10/22/2012,6:00:00,DS,13.5,-78.2,25,1003,25,1003
NA,10/22/2012,9:00:00,DS,13.3,-78.42,,,27,1002
NA,10/22/2012,12:00:00,TS,13.1,-78.6,30,1002,30,1002
NA,10/22/2012,15:00:00,TS,12.88,-78.7,,,32,1001
NA,10/22/2012,18:00:00,TS,12.7,-78.7,35,1000,35,1000
NA,10/22/2012,21:00:00,TS,12.6,-78.58,,,37,999
NA,10/23/2012,0:00:00,TS,12.6,-78.4,40,998,40,998
NA,10/23/2012,3:00:00,TS,12.71,-78.24,,,40,998
NA,10/23/2012,6:00:00,TS,12.9,-78.1,40,998,40,998
NA,10/23/2012,9:00:00,TS,13.13,-78,,,40,996
NA,10/23/2012,12:00:00,TS,13.4,-77.9,40,995,40,995
NA,10/23/2012,15:00:00,TS,13.69,-77.76,,,42,994
NA,10/23/2012,18:00:00,TS,14,-77.6,45,993,45,993
NA,10/23/2012,21:00:00,TS,14.33,-77.44,,,50,991
NA,10/24/2012,0:00:00,TS,14.7,-77.3,55,990,55,990
NA,10/24/2012,3:00:00,TS,15.13,-77.19,,,57,988
NA,10/24/2012,6:00:00,TS,15.6,-77.1,60,987,60,987
NA,10/24/2012,9:00:00,TS,16.09,-77,,,62,984
NA,10/24/2012,12:00:00,TS,16.6,-76.9,65,981,65,981
NA,10/24/2012,15:00:00,TS,17.13,-76.85,,,70,976
NA,10/24/2012,18:00:00,TS,17.7,-76.7,75,972,75,972
NA,10/24/2012,19:00:00,TS,17.9,-76.6,75,971,75,971
NA,10/24/2012,21:00:00,TS,18.3,-76.49,,,78,968
NA,10/25/2012,0:00:00,TS,18.9,-76.4,85,964,85,964
NA,10/25/2012,3:00:00,TS,19.53,-76.13,,,93,958
NA,10/25/2012,5:25:00,TS,20,-76,100,954,100,954
NA,10/25/2012,6:00:00,TS,20.1,-76,100,954,100,954
NA,10/25/2012,9:00:00,TS,20.9,-75.7,95,960,95,960
NA,10/25/2012,12:00:00,TS,21.7,-75.5,95,966,95,966
NA,10/25/2012,15:00:00,TS,22.51,-75.33,,,92,964
NA,10/25/2012,18:00:00,TS,23.3,-75.3,90,963,90,963
NA,10/25/2012,21:00:00,TS,24.1,-75.55,,,82,964
NA,10/26/2012,0:00:00,TS,24.8,-75.9,75,965,75,965
NA,10/26/2012,3:00:00,TS,25.31,-76.16,,,72,966
NA,10/26/2012,6:00:00,TS,25.7,-76.4,70,968,70,968
NA,10/26/2012,9:00:00,TS,26.07,-76.67,,,67,969
NA,10/26/2012,12:00:00,TS,26.4,-76.9,65,970,65,970
NA,10/26/2012,15:00:00,TS,26.71,-77.09,,,65,970
NA,10/26/2012,18:00:00,TS,27,-77.2,65,971,65,971
NA,10/26/2012,21:00:00,TS,27.25,-77.19,,,62,970
NA,10/27/2012,0:00:00,TS,27.5,-77.1,60,969,60,969
NA,10/27/2012,3:00:00,TS,27.78,-77.02,,,60,968
NA,10/27/2012,6:00:00,TS,28.1,-76.9,60,968,60,968
NA,10/27/2012,9:00:00,TS,28.43,-76.75,,,65,962
NA,10/27/2012,12:00:00,TS,28.8,-76.5,70,956,70,956
NA,10/27/2012,15:00:00,TS,29.24,-76.09,,,70,958
NA,10/27/2012,18:00:00,TS,29.7,-75.6,70,960,70,960
NA,10/27/2012,21:00:00,TS,30.11,-75.14,,,67,960
NA,10/28/2012,0:00:00,TS,30.5,-74.7,65,960,65,960
NA,10/28/2012,3:00:00,TS,30.91,-74.3,,,65,959
NA,10/28/2012,6:00:00,TS,31.3,-73.9,65,959,65,959
NA,10/28/2012,9:00:00,TS,31.65,-73.46,,,65,956
NA,10/28/2012,12:00:00,TS,32,-73,65,954,65,954
NA,10/28/2012,15:00:00,TS,32.37,-72.51,,,65,953
NA,10/28/2012,18:00:00,TS,32.8,-72,65,952,65,952
NA,10/28/2012,21:00:00,TS,33.31,-71.46,,,67,951
NA,10/29/2012,0:00:00,TS,33.9,-71,70,950,70,950
NA,10/29/2012,3:00:00,TS,34.56,-70.64,,,75,948
NA,10/29/2012,6:00:00,TS,35.3,-70.5,80,947,80,947
NA,10/29/2012,9:00:00,TS,36.1,-70.55,,,82,946
NA,10/29/2012,12:00:00,TS,36.9,-71,85,945,85,945
NA,10/29/2012,15:00:00,TS,37.66,-72.04,,,82,942
NA,10/29/2012,18:00:00,TS,38.3,-73.2,80,940,80,940
NA,10/29/2012,21:00:00,ET,38.8,-74,75,943,75,943
NA,10/29/2012,23:30:00,ET,39.4,-74.4,70,945,70,945
NA,10/30/2012,0:00:00,ET,39.5,-74.5,70,946,70,946
NA,10/30/2012,3:00:00,ET,39.83,-75.28,,,62,953
NA,10/30/2012,6:00:00,ET,39.9,-76.2,55,960,55,960
NA,10/30/2012,9:00:00,ET,40.01,-77.05,,,52,969
NA,10/30/2012,12:00:00,ET,40.1,-77.8,50,978,50,978
NA,10/30/2012,15:00:00,ET,40.24,-78.4,,,45,982
NA,10/30/2012,18:00:00,ET,40.4,-78.9,40,986,40,986
NA,10/30/2012,21:00:00,ET,40.54,-79.4,,,37,989
NA,10/31/2012,0:00:00,ET,40.7,-79.8,35,992,35,992
NA,10/31/2012,3:00:00,ET,40.89,-80.09,,,35,992
NA,10/31/2012,6:00:00,ET,41.1,-80.3,35,993,35,993
NA,10/31/2012,9:00:00,ET,41.3,-80.5,,,32,994
NA,10/31/2012,12:00:00,ET,41.5,-80.7,30,995,30,995
