DATE,ISO_TIME,NATURE,LAT,LON,USA WIND,USA PRES
9/10/20,6:00:00,NR,10.7,-16.7,20,1009
9/10/20,9:00:00,NR,10.7,-17.25,20,1009
9/10/20,12:00:00,NR,10.7,-17.8,20,1009
9/10/20,15:00:00,NR,10.7,-18.35,20,1009
9/10/20,18:00:00,NR,10.7,-18.9,20,1009
9/10/20,21:00:00,NR,10.7,-19.42,20,1009
9/11/20,0:00:00,NR,10.7,-20,20,1009
9/11/20,3:00:00,NR,10.68,-20.57,20,1009
9/11/20,6:00:00,NR,10.7,-21.5,20,1009
9/11/20,9:00:00,NR,10.83,-23.19,22,1008
9/11/20,12:00:00,NR,11,-25,25,1008
9/11/20,15:00:00,NR,11.16,-26.22,25,1008
9/11/20,18:00:00,NR,11.3,-27.3,25,1008
9/11/20,21:00:00,NR,11.37,-28.62,25,1008
9/12/20,0:00:00,NR,11.4,-29.8,25,1008
9/12/20,3:00:00,NR,11.41,-30.6,25,1007
9/12/20,6:00:00,NR,11.4,-31.2,25,1007
9/12/20,9:00:00,NR,11.34,-31.84,25,1007
9/12/20,12:00:00,DS,11.3,-32.4,25,1007
9/12/20,15:00:00,DS,11.33,-32.87,27,1006
9/12/20,18:00:00,TS,11.33,-33.27,30,1005
9/12/20,21:00:00,TS,11.46,-33.73,30,1005
9/13/20,0:00:00,TS,11.63,-34.2,30,1005
9/13/20,3:00:00,TS,11.81,-34.66,30,1005
9/13/20,6:00:00,TS,11.97,-35.1,30,1005
9/13/20,9:00:00,TS,12.04,-35.53,30,1005
9/13/20,12:00:00,TS,12.13,-36,30,1006
9/13/20,15:00:00,TS,12.32,-36.54,30,1006
9/13/20,18:00:00,TS,12.53,-37.13,30,1006
9/13/20,21:00:00,TS,12.7,-37.73,30,1006
9/14/20,0:00:00,TS,12.87,-38.4,30,1006
9/14/20,3:00:00,TS,13.09,-39.14,32,1005
9/14/20,6:00:00,TS,13.2,-40,35,1004
9/14/20,9:00:00,TS,13.02,-41.02,35,1004
9/14/20,12:00:00,TS,12.8,-42,35,1004
9/14/20,15:00:00,TS,12.81,-42.77,37,1003
9/14/20,18:00:00,TS,12.9,-43.4,40,1003
9/14/20,21:00:00,TS,12.93,-43.98,42,1002
9/15/20,0:00:00,TS,13,-44.5,45,1002
9/15/20,3:00:00,TS,13.18,-45,47,1001
9/15/20,6:00:00,TS,13.4,-45.5,50,1001
9/15/20,9:00:00,TS,13.59,-46.05,52,1000
9/15/20,12:00:00,TS,13.8,-46.6,55,999
